frame.number,frame.time,frame.len,ip.proto,_ws.col.Protocol,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,tcp.flags
"128","Jun 21, 2020 23:42:55.557023322 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"129","Jun 21, 2020 23:42:55.557025195 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"130","Jun 21, 2020 23:42:55.557030508 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8545","0x00000018"
"131","Jun 21, 2020 23:42:55.557057972 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8609","0x00000018"
"132","Jun 21, 2020 23:42:55.557086474 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"133","Jun 21, 2020 23:42:55.557090035 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8673","0x00000018"
"134","Jun 21, 2020 23:42:55.557118272 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8737","0x00000018"
"135","Jun 21, 2020 23:42:55.557145747 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8801","0x00000018"
"136","Jun 21, 2020 23:42:55.557172833 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8865","0x00000018"
"137","Jun 21, 2020 23:42:55.557183126 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"138","Jun 21, 2020 23:42:55.557206541 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8929","0x00000018"
"139","Jun 21, 2020 23:42:55.557234171 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8993","0x00000018"
"140","Jun 21, 2020 23:42:55.557245955 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"141","Jun 21, 2020 23:42:55.557275023 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"9057","0x00000018"
